
let p = 1/2

%BEGIN rPTSA config
restriction := 2
q0 := q
m0 := m0
gamma0 := root
%END rPTSA config
    
%BEGIN rPTSA rules
(q, m0, root, 1, (q, m_a_1, up g1))
(q_end, m_b_261, root, 1, (q, m_b_262, up g262))
(q, m0, g262, p, (q, cont, up g262))
(q, m0, g262, 1 - p, (q_end, endStr, down))
(q_end, cont, g262, 1, (q_end, cont, down))
(q, cont, g262, 1, (q, cont, up g262))
(q, endStr, g262, 1, (q_end, endStr, down))
(q_end, m_a_262, root, 1, (q, m_a_263, up g263))
(q_end, m_b_262, root, 1, (q, m_b_263, up g263))
(q, m0, g263, p, (q, cont, up g263))
(q, m0, g263, 1 - p, (q_end, endStr, down))
(q_end, cont, g263, 1, (q_end, cont, down))
(q, cont, g263, 1, (q, cont, up g263))
(q, endStr, g263, 1, (q_end, endStr, down))
(q_end, m_a_263, root, 1, (q, m_a_264, up g264))
(q_end, m_b_263, root, 1, (q, m_b_264, up g264))
(q, m0, g264, p, (q, cont, up g264))
(q, m0, g264, 1 - p, (q_end, endStr, down))
(q_end, cont, g264, 1, (q_end, cont, down))
(q, cont, g264, 1, (q, cont, up g264))
(q, endStr, g264, 1, (q_end, endStr, down))
(q_end, m_a_264, root, 1, (q, m_a_265, up g265))
(q_end, m_b_264, root, 1, (q, m_b_265, up g265))
(q, m0, g265, p, (q, cont, up g265))
(q, m0, g265, 1 - p, (q_end, endStr, down))
(q_end, cont, g265, 1, (q_end, cont, down))
(q, cont, g265, 1, (q, cont, up g265))
(q, endStr, g265, 1, (q_end, endStr, down))
(q_end, m_a_265, root, 1, (q, m_a_266, up g266))
(q_end, m_b_265, root, 1, (q, m_b_266, up g266))
(q, m0, g266, p, (q, cont, up g266))
(q, m0, g266, 1 - p, (q_end, endStr, down))
(q_end, cont, g266, 1, (q_end, cont, down))
(q, cont, g266, 1, (q, cont, up g266))
(q, endStr, g266, 1, (q_end, endStr, down))
(q_end, m_a_266, root, 1, (q, m_a_267, up g267))
(q_end, m_b_266, root, 1, (q, m_b_267, up g267))
(q, m0, g267, p, (q, cont, up g267))
(q, m0, g267, 1 - p, (q_end, endStr, down))
(q_end, cont, g267, 1, (q_end, cont, down))
(q, cont, g267, 1, (q, cont, up g267))
(q, endStr, g267, 1, (q_end, endStr, down))
(q_end, m_a_267, root, 1, (q, m_a_268, up g268))
(q_end, m_b_267, root, 1, (q, m_b_268, up g268))
(q, m0, g268, p, (q, cont, up g268))
(q, m0, g268, 1 - p, (q_end, endStr, down))
(q_end, cont, g268, 1, (q_end, cont, down))
(q, cont, g268, 1, (q, cont, up g268))
(q, endStr, g268, 1, (q_end, endStr, down))
(q_end, m_a_268, root, 1, (q, m_a_269, up g269))
(q_end, m_b_268, root, 1, (q, m_b_269, up g269))
(q, m0, g269, p, (q, cont, up g269))
(q, m0, g269, 1 - p, (q_end, endStr, down))
(q_end, cont, g269, 1, (q_end, cont, down))
(q, cont, g269, 1, (q, cont, up g269))
(q, endStr, g269, 1, (q_end, endStr, down))
(q_end, m_a_269, root, 1, (q, m_a_270, up g270))
(q_end, m_b_269, root, 1, (q, m_b_270, up g270))
(q, m0, g270, p, (q, cont, up g270))
(q, m0, g270, 1 - p, (q_end, endStr, down))
(q_end, cont, g270, 1, (q_end, cont, down))
(q, cont, g270, 1, (q, cont, up g270))
(q, endStr, g270, 1, (q_end, endStr, down))
(q_end, m_a_270, root, 1, (q, m_a_271, up g271))
(q_end, m_b_270, root, 1, (q, m_b_271, up g271))
(q, m0, g271, p, (q, cont, up g271))
(q, m0, g271, 1 - p, (q_end, endStr, down))
(q_end, cont, g271, 1, (q_end, cont, down))
(q, cont, g271, 1, (q, cont, up g271))
(q, endStr, g271, 1, (q_end, endStr, down))
(q_end, m_a_271, root, 1, (q, m_a_272, up g272))
(q_end, m_b_271, root, 1, (q, m_b_272, up g272))
(q, m0, g272, p, (q, cont, up g272))
(q, m0, g272, 1 - p, (q_end, endStr, down))
(q_end, cont, g272, 1, (q_end, cont, down))
(q, cont, g272, 1, (q, cont, up g272))
(q, endStr, g272, 1, (q_end, endStr, down))
(q_end, m_a_272, root, 1, (q, m_a_273, up g273))
(q_end, m_b_272, root, 1, (q, m_b_273, up g273))
(q, m0, g273, p, (q, cont, up g273))
(q, m0, g273, 1 - p, (q_end, endStr, down))
(q_end, cont, g273, 1, (q_end, cont, down))
(q, cont, g273, 1, (q, cont, up g273))
(q, endStr, g273, 1, (q_end, endStr, down))
(q_end, m_a_273, root, 1, (q, m_a_274, up g274))
(q_end, m_b_273, root, 1, (q, m_b_274, up g274))
(q, m0, g274, p, (q, cont, up g274))
(q, m0, g274, 1 - p, (q_end, endStr, down))
(q_end, cont, g274, 1, (q_end, cont, down))
(q, cont, g274, 1, (q, cont, up g274))
(q, endStr, g274, 1, (q_end, endStr, down))
(q_end, m_a_274, root, 1, (q, m_a_275, up g275))
(q_end, m_b_274, root, 1, (q, m_b_275, up g275))
(q, m0, g275, p, (q, cont, up g275))
(q, m0, g275, 1 - p, (q_end, endStr, down))
(q_end, cont, g275, 1, (q_end, cont, down))
(q, cont, g275, 1, (q, cont, up g275))
(q, endStr, g275, 1, (q_end, endStr, down))
(q_end, m_a_275, root, 1, (q, m_a_276, up g276))
(q_end, m_b_275, root, 1, (q, m_b_276, up g276))
(q, m0, g276, p, (q, cont, up g276))
(q, m0, g276, 1 - p, (q_end, endStr, down))
(q_end, cont, g276, 1, (q_end, cont, down))
(q, cont, g276, 1, (q, cont, up g276))
(q, endStr, g276, 1, (q_end, endStr, down))
(q_end, m_a_276, root, 1, (q, m_a_277, up g277))
(q_end, m_b_276, root, 1, (q, m_b_277, up g277))
(q, m0, g277, p, (q, cont, up g277))
(q, m0, g277, 1 - p, (q_end, endStr, down))
(q_end, cont, g277, 1, (q_end, cont, down))
(q, cont, g277, 1, (q, cont, up g277))
(q, endStr, g277, 1, (q_end, endStr, down))
(q_end, m_a_277, root, 1, (q, m_a_278, up g278))
(q_end, m_b_277, root, 1, (q, m_b_278, up g278))
(q, m0, g278, p, (q, cont, up g278))
(q, m0, g278, 1 - p, (q_end, endStr, down))
(q_end, cont, g278, 1, (q_end, cont, down))
(q, cont, g278, 1, (q, cont, up g278))
(q, endStr, g278, 1, (q_end, endStr, down))
(q_end, m_a_278, root, 1, (q, m_a_279, up g279))
(q_end, m_b_278, root, 1, (q, m_b_279, up g279))
(q, m0, g279, p, (q, cont, up g279))
(q, m0, g279, 1 - p, (q_end, endStr, down))
(q_end, cont, g279, 1, (q_end, cont, down))
(q, cont, g279, 1, (q, cont, up g279))
(q, endStr, g279, 1, (q_end, endStr, down))
(q_end, m_a_279, root, 1, (q, m_a_280, up g280))
(q_end, m_b_279, root, 1, (q, m_b_280, up g280))
(q, m0, g280, p, (q, cont, up g280))
(q, m0, g280, 1 - p, (q_end, endStr, down))
(q_end, cont, g280, 1, (q_end, cont, down))
(q, cont, g280, 1, (q, cont, up g280))
(q, endStr, g280, 1, (q_end, endStr, down))
(q_end, m_a_280, root, 1, (q, m_a_281, up g281))
(q_end, m_b_280, root, 1, (q, m_b_281, up g281))
(q, m0, g281, p, (q, cont, up g281))
(q, m0, g281, 1 - p, (q_end, endStr, down))
(q_end, cont, g281, 1, (q_end, cont, down))
(q, cont, g281, 1, (q, cont, up g281))
(q, endStr, g281, 1, (q_end, endStr, down))
(q_end, m_a_281, root, 1, (q, m_a_282, up g282))
(q_end, m_b_281, root, 1, (q, m_b_282, up g282))
(q, m0, g282, p, (q, cont, up g282))
(q, m0, g282, 1 - p, (q_end, endStr, down))
(q_end, cont, g282, 1, (q_end, cont, down))
(q, cont, g282, 1, (q, cont, up g282))
(q, endStr, g282, 1, (q_end, endStr, down))
(q_end, m_a_282, root, 1, (q, m_a_283, up g283))
(q_end, m_b_282, root, 1, (q, m_b_283, up g283))
(q, m0, g283, p, (q, cont, up g283))
(q, m0, g283, 1 - p, (q_end, endStr, down))
(q_end, cont, g283, 1, (q_end, cont, down))
(q, cont, g283, 1, (q, cont, up g283))
(q, endStr, g283, 1, (q_end, endStr, down))
(q_end, m_a_283, root, 1, (q, m_a_284, up g284))
(q_end, m_b_283, root, 1, (q, m_b_284, up g284))
(q, m0, g284, p, (q, cont, up g284))
(q, m0, g284, 1 - p, (q_end, endStr, down))
(q_end, cont, g284, 1, (q_end, cont, down))
(q, cont, g284, 1, (q, cont, up g284))
(q, endStr, g284, 1, (q_end, endStr, down))
(q_end, m_a_284, root, 1, (q, m_a_285, up g285))
(q_end, m_b_284, root, 1, (q, m_b_285, up g285))
(q, m0, g285, p, (q, cont, up g285))
(q, m0, g285, 1 - p, (q_end, endStr, down))
(q_end, cont, g285, 1, (q_end, cont, down))
(q, cont, g285, 1, (q, cont, up g285))
(q, endStr, g285, 1, (q_end, endStr, down))
(q_end, m_a_285, root, 1, (q, m_a_286, up g286))
(q_end, m_b_285, root, 1, (q, m_b_286, up g286))
(q, m0, g286, p, (q, cont, up g286))
(q, m0, g286, 1 - p, (q_end, endStr, down))
(q_end, cont, g286, 1, (q_end, cont, down))
(q, cont, g286, 1, (q, cont, up g286))
(q, endStr, g286, 1, (q_end, endStr, down))
(q_end, m_a_286, root, 1, (q, m_a_287, up g287))
(q_end, m_b_286, root, 1, (q, m_b_287, up g287))
(q, m0, g287, p, (q, cont, up g287))
(q, m0, g287, 1 - p, (q_end, endStr, down))
(q_end, cont, g287, 1, (q_end, cont, down))
(q, cont, g287, 1, (q, cont, up g287))
(q, endStr, g287, 1, (q_end, endStr, down))
(q_end, m_a_287, root, 1, (q, m_a_288, up g288))
(q_end, m_b_287, root, 1, (q, m_b_288, up g288))
(q, m0, g288, p, (q, cont, up g288))
(q, m0, g288, 1 - p, (q_end, endStr, down))
(q_end, cont, g288, 1, (q_end, cont, down))
(q, cont, g288, 1, (q, cont, up g288))
(q, endStr, g288, 1, (q_end, endStr, down))
(q_end, m_a_288, root, 1, (q, m_a_289, up g289))
(q_end, m_b_288, root, 1, (q, m_b_289, up g289))
(q, m0, g289, p, (q, cont, up g289))
(q, m0, g289, 1 - p, (q_end, endStr, down))
(q_end, cont, g289, 1, (q_end, cont, down))
(q, cont, g289, 1, (q, cont, up g289))
(q, endStr, g289, 1, (q_end, endStr, down))
(q_end, m_a_289, root, 1, (q, m_a_290, up g290))
(q_end, m_b_289, root, 1, (q, m_b_290, up g290))
(q, m0, g290, p, (q, cont, up g290))
(q, m0, g290, 1 - p, (q_end, endStr, down))
(q_end, cont, g290, 1, (q_end, cont, down))
(q, cont, g290, 1, (q, cont, up g290))
(q, endStr, g290, 1, (q_end, endStr, down))
(q_end, m_a_290, root, 1, (q, m_a_291, up g291))
(q_end, m_b_290, root, 1, (q, m_b_291, up g291))
(q, m0, g291, p, (q, cont, up g291))
(q, m0, g291, 1 - p, (q_end, endStr, down))
(q_end, cont, g291, 1, (q_end, cont, down))
(q, cont, g291, 1, (q, cont, up g291))
(q, endStr, g291, 1, (q_end, endStr, down))
(q_end, m_a_291, root, 1, (q, m_a_292, up g292))
(q_end, m_b_291, root, 1, (q, m_b_292, up g292))
(q, m0, g292, p, (q, cont, up g292))
(q, m0, g292, 1 - p, (q_end, endStr, down))
(q_end, cont, g292, 1, (q_end, cont, down))
(q, cont, g292, 1, (q, cont, up g292))
(q, endStr, g292, 1, (q_end, endStr, down))
(q_end, m_a_292, root, 1, (q, m_a_293, up g293))
(q_end, m_b_292, root, 1, (q, m_b_293, up g293))
(q, m0, g293, p, (q, cont, up g293))
(q, m0, g293, 1 - p, (q_end, endStr, down))
(q_end, cont, g293, 1, (q_end, cont, down))
(q, cont, g293, 1, (q, cont, up g293))
(q, endStr, g293, 1, (q_end, endStr, down))
(q_end, m_a_293, root, 1, (q, m_a_294, up g294))
(q_end, m_b_293, root, 1, (q, m_b_294, up g294))
(q, m0, g294, p, (q, cont, up g294))
(q, m0, g294, 1 - p, (q_end, endStr, down))
(q_end, cont, g294, 1, (q_end, cont, down))
(q, cont, g294, 1, (q, cont, up g294))
(q, endStr, g294, 1, (q_end, endStr, down))
(q_end, m_a_294, root, 1, (q, m_a_295, up g295))
(q_end, m_b_294, root, 1, (q, m_b_295, up g295))
(q, m0, g295, p, (q, cont, up g295))
(q, m0, g295, 1 - p, (q_end, endStr, down))
(q_end, cont, g295, 1, (q_end, cont, down))
(q, cont, g295, 1, (q, cont, up g295))
(q, endStr, g295, 1, (q_end, endStr, down))
(q_end, m_a_295, root, 1, (q, m_a_296, up g296))
(q_end, m_b_295, root, 1, (q, m_b_296, up g296))
(q, m0, g296, p, (q, cont, up g296))
(q, m0, g296, 1 - p, (q_end, endStr, down))
(q_end, cont, g296, 1, (q_end, cont, down))
(q, cont, g296, 1, (q, cont, up g296))
(q, endStr, g296, 1, (q_end, endStr, down))
(q_end, m_a_296, root, 1, (q, m_a_297, up g297))
(q_end, m_b_296, root, 1, (q, m_b_297, up g297))
(q, m0, g297, p, (q, cont, up g297))
(q, m0, g297, 1 - p, (q_end, endStr, down))
(q_end, cont, g297, 1, (q_end, cont, down))
(q, cont, g297, 1, (q, cont, up g297))
(q, endStr, g297, 1, (q_end, endStr, down))
(q_end, m_a_297, root, 1, (q, m_a_298, up g298))
(q_end, m_b_297, root, 1, (q, m_b_298, up g298))
(q, m0, g298, p, (q, cont, up g298))
(q, m0, g298, 1 - p, (q_end, endStr, down))
(q_end, cont, g298, 1, (q_end, cont, down))
(q, cont, g298, 1, (q, cont, up g298))
(q, endStr, g298, 1, (q_end, endStr, down))
(q_end, m_a_298, root, 1, (q, m_a_299, up g299))
(q_end, m_b_298, root, 1, (q, m_b_299, up g299))
(q, m0, g299, p, (q, cont, up g299))
(q, m0, g299, 1 - p, (q_end, endStr, down))
(q_end, cont, g299, 1, (q_end, cont, down))
(q, cont, g299, 1, (q, cont, up g299))
(q, endStr, g299, 1, (q_end, endStr, down))
(q_end, m_a_299, root, 1, (q, m_a_300, up g300))
(q_end, m_b_299, root, 1, (q, m_b_300, up g300))
(q, m0, g300, p, (q, cont, up g300))
(q, m0, g300, 1 - p, (q_end, endStr, down))
(q_end, cont, g300, 1, (q_end, cont, down))
(q, cont, g300, 1, (q, cont, up g300))
(q, endStr, g300, 1, (q_end, endStr, down))
(q_end, m_a_300, root, 1, (q, m_a_301, up g301))
(q_end, m_b_300, root, 1, (q, m_b_301, up g301))
(q, m0, g301, p, (q, cont, up g301))
(q, m0, g301, 1 - p, (q_end, endStr, down))
(q_end, cont, g301, 1, (q_end, cont, down))
(q, cont, g301, 1, (q, cont, up g301))
(q, endStr, g301, 1, (q_end, endStr, down))
(q_end, m_a_301, root, 1, (q, m_a_302, up g302))
(q_end, m_b_301, root, 1, (q, m_b_302, up g302))
(q, m0, g302, p, (q, cont, up g302))
(q, m0, g302, 1 - p, (q_end, endStr, down))
(q_end, cont, g302, 1, (q_end, cont, down))
(q, cont, g302, 1, (q, cont, up g302))
(q, endStr, g302, 1, (q_end, endStr, down))
(q_end, m_a_302, root, 1, (q, m_a_303, up g303))
(q_end, m_b_302, root, 1, (q, m_b_303, up g303))
(q, m0, g303, p, (q, cont, up g303))
(q, m0, g303, 1 - p, (q_end, endStr, down))
(q_end, cont, g303, 1, (q_end, cont, down))
(q, cont, g303, 1, (q, cont, up g303))
(q, endStr, g303, 1, (q_end, endStr, down))
(q_end, m_a_303, root, 1, (q, m_a_304, up g304))
(q_end, m_b_303, root, 1, (q, m_b_304, up g304))
(q, m0, g304, p, (q, cont, up g304))
(q, m0, g304, 1 - p, (q_end, endStr, down))
(q_end, cont, g304, 1, (q_end, cont, down))
(q, cont, g304, 1, (q, cont, up g304))
(q, endStr, g304, 1, (q_end, endStr, down))
(q_end, m_a_304, root, 1, (q, m_a_305, up g305))
(q_end, m_b_304, root, 1, (q, m_b_305, up g305))
(q, m0, g305, p, (q, cont, up g305))
(q, m0, g305, 1 - p, (q_end, endStr, down))
(q_end, cont, g305, 1, (q_end, cont, down))
(q, cont, g305, 1, (q, cont, up g305))
(q, endStr, g305, 1, (q_end, endStr, down))
(q_end, m_a_305, root, 1, (q, m_a_306, up g306))
(q_end, m_b_305, root, 1, (q, m_b_306, up g306))
(q, m0, g306, p, (q, cont, up g306))
(q, m0, g306, 1 - p, (q_end, endStr, down))
(q_end, cont, g306, 1, (q_end, cont, down))
(q, cont, g306, 1, (q, cont, up g306))
(q, endStr, g306, 1, (q_end, endStr, down))
(q_end, m_a_306, root, 1, (q, m_a_307, up g307))
(q_end, m_b_306, root, 1, (q, m_b_307, up g307))
(q, m0, g307, p, (q, cont, up g307))
(q, m0, g307, 1 - p, (q_end, endStr, down))
(q_end, cont, g307, 1, (q_end, cont, down))
(q, cont, g307, 1, (q, cont, up g307))
(q, endStr, g307, 1, (q_end, endStr, down))
(q_end, m_a_307, root, 1, (q, m_a_308, up g308))
(q_end, m_b_307, root, 1, (q, m_b_308, up g308))
(q, m0, g308, p, (q, cont, up g308))
(q, m0, g308, 1 - p, (q_end, endStr, down))
(q_end, cont, g308, 1, (q_end, cont, down))
(q, cont, g308, 1, (q, cont, up g308))
(q, endStr, g308, 1, (q_end, endStr, down))
(q_end, m_a_308, root, 1, (q, m_a_309, up g309))
(q_end, m_b_308, root, 1, (q, m_b_309, up g309))
(q, m0, g309, p, (q, cont, up g309))
(q, m0, g309, 1 - p, (q_end, endStr, down))
(q_end, cont, g309, 1, (q_end, cont, down))
(q, cont, g309, 1, (q, cont, up g309))
(q, endStr, g309, 1, (q_end, endStr, down))
(q_end, m_a_309, root, 1, (q, m_a_310, up g310))
(q_end, m_b_309, root, 1, (q, m_b_310, up g310))
(q, m0, g310, p, (q, cont, up g310))
(q, m0, g310, 1 - p, (q_end, endStr, down))
(q_end, cont, g310, 1, (q_end, cont, down))
(q, cont, g310, 1, (q, cont, up g310))
(q, endStr, g310, 1, (q_end, endStr, down))
(q_end, m_a_310, root, 1, (q, m_a_311, up g311))
(q_end, m_b_310, root, 1, (q, m_b_311, up g311))
(q, m0, g311, p, (q, cont, up g311))
(q, m0, g311, 1 - p, (q_end, endStr, down))
(q_end, cont, g311, 1, (q_end, cont, down))
(q, cont, g311, 1, (q, cont, up g311))
(q, endStr, g311, 1, (q_end, endStr, down))
(q_end, m_a_311, root, 1, (q, m_a_312, up g312))
(q_end, m_b_311, root, 1, (q, m_b_312, up g312))
(q, m0, g312, p, (q, cont, up g312))
(q, m0, g312, 1 - p, (q_end, endStr, down))
(q_end, cont, g312, 1, (q_end, cont, down))
(q, cont, g312, 1, (q, cont, up g312))
(q, endStr, g312, 1, (q_end, endStr, down))
(q_end, m_a_312, root, 1, (q, m_a_313, up g313))
(q_end, m_b_312, root, 1, (q, m_b_313, up g313))
(q, m0, g313, p, (q, cont, up g313))
(q, m0, g313, 1 - p, (q_end, endStr, down))
(q_end, cont, g313, 1, (q_end, cont, down))
(q, cont, g313, 1, (q, cont, up g313))
(q, endStr, g313, 1, (q_end, endStr, down))
(q_end, m_a_313, root, 1, (q, m_a_314, up g314))
(q_end, m_b_313, root, 1, (q, m_b_314, up g314))
(q, m0, g314, p, (q, cont, up g314))
(q, m0, g314, 1 - p, (q_end, endStr, down))
(q_end, cont, g314, 1, (q_end, cont, down))
(q, cont, g314, 1, (q, cont, up g314))
(q, endStr, g314, 1, (q_end, endStr, down))
(q_end, m_a_314, root, 1, (q, m_a_315, up g315))
(q_end, m_b_314, root, 1, (q, m_b_315, up g315))
(q, m0, g315, p, (q, cont, up g315))
(q, m0, g315, 1 - p, (q_end, endStr, down))
(q_end, cont, g315, 1, (q_end, cont, down))
(q, cont, g315, 1, (q, cont, up g315))
(q, endStr, g315, 1, (q_end, endStr, down))
(q_end, m_a_315, root, 1, (q, m_a_316, up g316))
(q_end, m_b_315, root, 1, (q, m_b_316, up g316))
(q, m0, g316, p, (q, cont, up g316))
(q, m0, g316, 1 - p, (q_end, endStr, down))
(q_end, cont, g316, 1, (q_end, cont, down))
(q, cont, g316, 1, (q, cont, up g316))
(q, endStr, g316, 1, (q_end, endStr, down))
(q_end, m_a_316, root, 1, (q, m_a_317, up g317))
(q_end, m_b_316, root, 1, (q, m_b_317, up g317))
(q, m0, g317, p, (q, cont, up g317))
(q, m0, g317, 1 - p, (q_end, endStr, down))
(q_end, cont, g317, 1, (q_end, cont, down))
(q, cont, g317, 1, (q, cont, up g317))
(q, endStr, g317, 1, (q_end, endStr, down))
(q_end, m_a_317, root, 1, (q, m_a_318, up g318))
(q_end, m_b_317, root, 1, (q, m_b_318, up g318))
(q, m0, g318, p, (q, cont, up g318))
(q, m0, g318, 1 - p, (q_end, endStr, down))
(q_end, cont, g318, 1, (q_end, cont, down))
(q, cont, g318, 1, (q, cont, up g318))
(q, endStr, g318, 1, (q_end, endStr, down))
(q_end, m_a_318, root, 1, (q, m_a_319, up g319))
(q_end, m_b_318, root, 1, (q, m_b_319, up g319))
(q, m0, g319, p, (q, cont, up g319))
(q, m0, g319, 1 - p, (q_end, endStr, down))
(q_end, cont, g319, 1, (q_end, cont, down))
(q, cont, g319, 1, (q, cont, up g319))
(q, endStr, g319, 1, (q_end, endStr, down))
(q_end, m_a_319, root, 1, (q, m_a_320, up g320))
(q_end, m_b_319, root, 1, (q, m_b_320, up g320))
(q, m0, g320, p, (q, cont, up g320))
(q, m0, g320, 1 - p, (q_end, endStr, down))
(q_end, cont, g320, 1, (q_end, cont, down))
(q, cont, g320, 1, (q, cont, up g320))
(q, endStr, g320, 1, (q_end, endStr, down))
(q_end, m_a_320, root, 1, (q, m_a_321, up g321))
(q_end, m_b_320, root, 1, (q, m_b_321, up g321))
(q, m0, g321, p, (q, cont, up g321))
(q, m0, g321, 1 - p, (q_end, endStr, down))
(q_end, cont, g321, 1, (q_end, cont, down))
(q, cont, g321, 1, (q, cont, up g321))
(q, endStr, g321, 1, (q_end, endStr, down))
(q_end, m_a_321, root, 1, (q, m_a_322, up g322))
(q_end, m_b_321, root, 1, (q, m_b_322, up g322))
(q, m0, g322, p, (q, cont, up g322))
(q, m0, g322, 1 - p, (q_end, endStr, down))
(q_end, cont, g322, 1, (q_end, cont, down))
(q, cont, g322, 1, (q, cont, up g322))
(q, endStr, g322, 1, (q_end, endStr, down))
(q_end, m_a_322, root, 1, (q, m_a_323, up g323))
(q_end, m_b_322, root, 1, (q, m_b_323, up g323))
(q, m0, g323, p, (q, cont, up g323))
(q, m0, g323, 1 - p, (q_end, endStr, down))
(q_end, cont, g323, 1, (q_end, cont, down))
(q, cont, g323, 1, (q, cont, up g323))
(q, endStr, g323, 1, (q_end, endStr, down))
(q_end, m_a_323, root, 1, (q, m_a_324, up g324))
(q_end, m_b_323, root, 1, (q, m_b_324, up g324))
(q, m0, g324, p, (q, cont, up g324))
(q, m0, g324, 1 - p, (q_end, endStr, down))
(q_end, cont, g324, 1, (q_end, cont, down))
(q, cont, g324, 1, (q, cont, up g324))
(q, endStr, g324, 1, (q_end, endStr, down))
(q_end, m_a_324, root, 1, (q, m_a_325, up g325))
(q_end, m_b_324, root, 1, (q, m_b_325, up g325))
(q, m0, g325, p, (q, cont, up g325))
(q, m0, g325, 1 - p, (q_end, endStr, down))
(q_end, cont, g325, 1, (q_end, cont, down))
(q, cont, g325, 1, (q, cont, up g325))
(q, endStr, g325, 1, (q_end, endStr, down))
(q_end, m_a_325, root, 1, (q, m_a_326, up g326))
(q_end, m_b_325, root, 1, (q, m_b_326, up g326))
(q, m0, g326, p, (q, cont, up g326))
(q, m0, g326, 1 - p, (q_end, endStr, down))
(q_end, cont, g326, 1, (q_end, cont, down))
(q, cont, g326, 1, (q, cont, up g326))
(q, endStr, g326, 1, (q_end, endStr, down))
(q_end, m_a_326, root, 1, (q, m_a_327, up g327))
(q_end, m_b_326, root, 1, (q, m_b_327, up g327))
(q, m0, g327, p, (q, cont, up g327))
(q, m0, g327, 1 - p, (q_end, endStr, down))
(q_end, cont, g327, 1, (q_end, cont, down))
(q, cont, g327, 1, (q, cont, up g327))
(q, endStr, g327, 1, (q_end, endStr, down))
(q_end, m_a_327, root, 1, (q, m_a_328, up g328))
(q_end, m_b_327, root, 1, (q, m_b_328, up g328))
(q, m0, g328, p, (q, cont, up g328))
(q, m0, g328, 1 - p, (q_end, endStr, down))
(q_end, cont, g328, 1, (q_end, cont, down))
(q, cont, g328, 1, (q, cont, up g328))
(q, endStr, g328, 1, (q_end, endStr, down))
(q_end, m_a_328, root, 1, (q, m_a_329, up g329))
(q_end, m_b_328, root, 1, (q, m_b_329, up g329))
(q, m0, g329, p, (q, cont, up g329))
(q, m0, g329, 1 - p, (q_end, endStr, down))
(q_end, cont, g329, 1, (q_end, cont, down))
(q, cont, g329, 1, (q, cont, up g329))
(q, endStr, g329, 1, (q_end, endStr, down))
(q_end, m_a_329, root, 1, (q, m_a_330, up g330))
(q_end, m_b_329, root, 1, (q, m_b_330, up g330))
(q, m0, g330, p, (q, cont, up g330))
(q, m0, g330, 1 - p, (q_end, endStr, down))
(q_end, cont, g330, 1, (q_end, cont, down))
(q, cont, g330, 1, (q, cont, up g330))
(q, endStr, g330, 1, (q_end, endStr, down))
(q_end, m_a_330, root, 1, (q, m_a_331, up g331))
(q_end, m_b_330, root, 1, (q, m_b_331, up g331))
(q, m0, g331, p, (q, cont, up g331))
(q, m0, g331, 1 - p, (q_end, endStr, down))
(q_end, cont, g331, 1, (q_end, cont, down))
(q, cont, g331, 1, (q, cont, up g331))
(q, endStr, g331, 1, (q_end, endStr, down))
(q_end, m_a_331, root, 1, (q, m_a_332, up g332))
(q_end, m_b_331, root, 1, (q, m_b_332, up g332))
(q, m0, g332, p, (q, cont, up g332))
(q, m0, g332, 1 - p, (q_end, endStr, down))
(q_end, cont, g332, 1, (q_end, cont, down))
(q, cont, g332, 1, (q, cont, up g332))
(q, endStr, g332, 1, (q_end, endStr, down))
(q_end, m_a_332, root, 1, (q, m_a_333, up g333))
(q_end, m_b_332, root, 1, (q, m_b_333, up g333))
(q, m0, g333, p, (q, cont, up g333))
(q, m0, g333, 1 - p, (q_end, endStr, down))
(q_end, cont, g333, 1, (q_end, cont, down))
(q, cont, g333, 1, (q, cont, up g333))
(q, endStr, g333, 1, (q_end, endStr, down))
(q_end, m_a_333, root, 1, (q, m_a_334, up g334))
(q_end, m_b_333, root, 1, (q, m_b_334, up g334))
(q, m0, g334, p, (q, cont, up g334))
(q, m0, g334, 1 - p, (q_end, endStr, down))
(q_end, cont, g334, 1, (q_end, cont, down))
(q, cont, g334, 1, (q, cont, up g334))
(q, endStr, g334, 1, (q_end, endStr, down))
(q_end, m_a_334, root, 1, (q, m_a_335, up g335))
(q_end, m_b_334, root, 1, (q, m_b_335, up g335))
(q, m0, g335, p, (q, cont, up g335))
(q, m0, g335, 1 - p, (q_end, endStr, down))
(q_end, cont, g335, 1, (q_end, cont, down))
(q, cont, g335, 1, (q, cont, up g335))
(q, endStr, g335, 1, (q_end, endStr, down))
(q_end, m_a_335, root, 1, (q, m_a_336, up g336))
(q_end, m_b_335, root, 1, (q, m_b_336, up g336))
(q, m0, g336, p, (q, cont, up g336))
(q, m0, g336, 1 - p, (q_end, endStr, down))
(q_end, cont, g336, 1, (q_end, cont, down))
(q, cont, g336, 1, (q, cont, up g336))
(q, endStr, g336, 1, (q_end, endStr, down))
(q_end, m_a_336, root, 1, (q, m_a_337, up g337))
(q_end, m_b_336, root, 1, (q, m_b_337, up g337))
(q, m0, g337, p, (q, cont, up g337))
(q, m0, g337, 1 - p, (q_end, endStr, down))
(q_end, cont, g337, 1, (q_end, cont, down))
(q, cont, g337, 1, (q, cont, up g337))
(q, endStr, g337, 1, (q_end, endStr, down))
(q_end, m_a_337, root, 1, (q, m_a_338, up g338))
(q_end, m_b_337, root, 1, (q, m_b_338, up g338))
(q, m0, g338, p, (q, cont, up g338))
